torneo,fecha,dia,local,visitante,goles_local,goles_visitante,amarillas_local,rojas_indirectas_local,rojas_directas_local,amarilla_mas_roja_local,amarillas_visitante,rojas_indirectas_visitante,rojas_directas_visitante,amarilla_mas_roja_visitante
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/16,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/8,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/4,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/2,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/2,Jun 27 2026,undefined,undefined,99,99
Mundial 2026,Fecha 1/1,Jun 27 2026,undefined,undefined,99,99
